1 1.000000 
2 0.355263 
3 1.000000 
4 0.601009 
5 1.000000 
6 3.000000 
7 1.000000 
8 0.064712 
9 0.001474 
10 0.001364
11 0.001271
12 0.001191
13 0.001122
14 0.001062
15 0.001009
16 0.000962
17 0.000920
18 0.000882
19 0.000848
20 0.000817
21 0.000789
22 0.000763
23 0.000740
24 0.000718
25 0.000698
26 0.000679
27 0.000662
28 0.000646
29 0.000631
30 0.000617
31 0.000604
32 0.000592
33 0.000580
34 0.000569
35 0.000559
36 0.000550
37 0.000540
38 0.000532
39 0.000524
40 0.000516
41 0.000508
42 0.000501
43 0.000495
44 0.000488
45 0.000482
46 0.000477
47 0.000471
48 0.000466
49 0.000461
50 0.000456
