0.4 0.4 0.3       
1 1.000000
2 0.589856
3 1.000000
4 1.997671
5 1.000000
6 3.000000
7 1.000000
8 0.001128
9 0.001057
10 0.000996
11 0.000942
12 0.000893
13 0.000850
14 0.000811
15 0.000775
16 0.000743
17 0.000714
18 0.000687
19 0.000662
20 0.000639
21 0.000618
22 0.000598
23 0.000580
24 0.000562
25 0.000546
26 0.000531
27 0.000517
28 0.000504
29 0.000491
30 0.000480
31 0.000468
32 0.000458
33 0.000448
34 0.000438
35 0.000429
36 0.000421
37 0.000412
38 0.000404
39 0.000397
40 0.000390
41 0.000383
42 0.000376
43 0.000370
44 0.000364
45 0.000358
46 0.000353
47 0.000348
48 0.000342
49 0.000337
50 0.000333
